Comment,Designator,Footprint,JLCPCB Part #,Rack
0,L,R0402,C106231,14
1.5k,R17,R0402,C412994,21
10,"R1, R2, R3, R4, R20, R21",R0402,C2906862,7
100n,"C4, C5, C6, C7, C8, C9",C0402,C60474,20
12.1k,R7,R0402,C2933069,18
15uH,L1,LPS6235,C206362,8
1u,C14,C0402,C2887021,13
1u LOW ESR,C3,C0402,C2887021,
2.2u,C13,C1210,C42371855,17
22n,C1,C0402,Uk-rs-online/885012205052,
22u,"C10, C11, C12",C0805,C6119902,19
3.3n,C15,C0402,C42437939,10
33,R6,R0402,C844506,9
330,"R8, R9, R14, R18",R0402,C4149562,22
4.7k,"R5, R15, R16, R19, R22",R0402,C482193,1
470p,C2,C0402,C307449,11
49.9,"R10, R11, R12, R13",R0402,C2933103,15
B3U-1000P-2P-SMD,SW1,SW2-2.6-3.0X2.5X1.2+0.4MM,C231329,3
DF13-2P-1.25DSA,POWER,DF13-2P-1.25DSA,,
DF13-3P-1.25DSA,U$5,DF13-3P-1.25DSA,,
DF13-4P-1.25DSA,U$6,DF13-4P-1.25DSA,,
DF13-5P-1.25DSA,"PROG, SPI_0, SPI_1, SPI_2, SPI_3, SPI_4, SPI_5, SPI_6, SPI_7",DF13-5P-1.25DSA,,
DF13-6P-1.25DSA,U$4,DF13-6P-1.25DSA,,
ESP32-WROOM,U$1,ESP32-WROOM,C473012,
GREEN,D2,CHIPLED_0603,C19171301,4
HR911105A,U$3,RJ45,C12074,
LAN8720,U$2,QFN24,C45223,12
MAX17502EATB+T,IC2,SON50P200X300X80-11N,C571005,16
RED,D1,CHIPLED_0603,C19171390,6
SN74HC138PW,IC1,SOP65P640X120-16N,C157527,2
WS2812B,"IC3, IC4",WS2812B,C22371521,5
